marca,ano,modelo,saindo_fumaca,fumaca_capo,fumaca_roda,fumaca_ecapamento,terreno_motanhoso,freio_de_mao_etava_acionado,fumaca_branca,fumaca_preta,fumaca_azulada,problema
chevrolet,2018,Onix,1,1,0,0,0,0,0,1,0,29
chevrolet,2018,Onix,1,1,0,0,0,0,0,1,0,29
chevrolet,2018,Onix,1,0,1,0,0,1,0,0,0,30
chevrolet,2018,Onix,1,0,1,0,0,0,0,0,0,31
chevrolet,2018,Onix,1,0,1,0,0,1,0,0,0,30
chevrolet,2018,Onix,1,1,0,0,0,0,0,1,0,29
chevrolet,2018,Onix,1,0,1,0,0,0,0,0,0,31
chevrolet,2018,Onix,1,0,0,1,0,0,0,1,0,32
chevrolet,2018,Onix,1,1,0,0,0,0,0,1,0,29
chevrolet,2018,Onix,1,0,1,0,0,0,0,0,0,31
chevrolet,2018,Onix,1,0,0,1,0,0,1,0,0,29
chevrolet,2018,Onix,1,0,1,0,0,1,0,0,0,30
chevrolet,2018,Onix,1,0,1,0,0,0,0,0,0,31
chevrolet,2018,Onix,1,0,1,0,0,0,0,0,0,31
chevrolet,2018,Onix,0,0,0,0,0,0,0,0,0,0
chevrolet,2018,Onix,1,1,0,0,0,0,0,1,0,29
chevrolet,2018,Onix,1,0,1,0,0,0,0,0,0,31
chevrolet,2018,Onix,1,0,1,0,0,0,0,0,0,31
chevrolet,2018,Onix,1,0,0,1,0,0,1,0,0,29
chevrolet,2018,Onix,1,0,1,0,0,1,0,0,0,30
chevrolet,2018,Onix,1,0,0,1,0,0,0,1,0,32
chevrolet,2018,Onix,1,0,1,0,0,1,0,0,0,30
chevrolet,2018,Onix,1,0,1,0,0,1,0,0,0,30
chevrolet,2018,Onix,0,0,0,0,0,0,0,0,0,0
chevrolet,2018,Onix,0,0,0,0,0,0,0,0,0,0
chevrolet,2018,Onix,1,0,1,0,0,1,0,0,0,30
chevrolet,2018,Onix,1,1,0,0,0,0,1,0,0,28
chevrolet,2018,Onix,0,0,0,0,0,0,0,0,0,0
chevrolet,2018,Onix,1,1,0,0,0,0,0,1,0,29
chevrolet,2018,Onix,0,0,0,0,0,0,0,0,0,0
chevrolet,2018,Onix,1,0,1,0,0,0,0,0,0,31
chevrolet,2018,Onix,1,0,1,0,1,0,0,0,0,30
chevrolet,2018,Onix,0,0,0,0,0,0,0,0,0,0
chevrolet,2018,Onix,1,0,1,0,0,0,0,0,0,31
chevrolet,2018,Onix,1,1,0,0,0,0,1,0,0,28
chevrolet,2018,Onix,1,1,0,0,0,0,1,0,0,28
chevrolet,2018,Onix,0,0,0,0,0,0,0,0,0,0
chevrolet,2018,Onix,1,0,0,1,0,0,0,0,1,33
chevrolet,2018,Onix,1,0,0,1,0,0,1,0,0,29
chevrolet,2018,Onix,1,0,1,0,1,0,0,0,0,30
chevrolet,2018,Onix,1,1,0,0,0,0,0,1,0,29
chevrolet,2018,Onix,1,0,1,0,1,0,0,0,0,30
chevrolet,2018,Onix,1,0,0,1,0,0,0,0,1,33
chevrolet,2018,Onix,1,0,0,1,0,0,0,1,0,32
chevrolet,2018,Onix,0,0,0,0,0,0,0,0,0,0
chevrolet,2018,Onix,1,0,1,0,0,0,0,0,0,31
chevrolet,2018,Onix,1,0,1,0,0,0,0,0,0,31
chevrolet,2018,Onix,1,0,1,0,0,0,0,0,0,31
chevrolet,2018,Onix,0,0,0,0,0,0,0,0,0,0
chevrolet,2018,Onix,1,0,1,0,0,0,0,0,0,31
chevrolet,2018,Onix,0,0,0,0,0,0,0,0,0,0
chevrolet,2018,Onix,1,0,1,0,0,0,0,0,0,31
chevrolet,2018,Onix,1,0,0,1,0,0,0,1,0,32
chevrolet,2018,Onix,1,0,1,0,0,0,0,0,0,31
chevrolet,2018,Onix,1,1,0,0,0,0,1,0,0,28
chevrolet,2018,Onix,1,0,1,0,0,0,0,0,0,31
chevrolet,2018,Onix,1,0,1,0,1,0,0,0,0,30
chevrolet,2018,Onix,1,1,0,0,0,0,0,1,0,29
chevrolet,2018,Onix,1,0,1,0,0,1,0,0,0,30
chevrolet,2018,Onix,1,0,0,1,0,0,1,0,0,29
chevrolet,2018,Onix,1,0,1,0,0,1,0,0,0,30
chevrolet,2018,Onix,1,0,0,1,0,0,0,1,0,32
chevrolet,2018,Onix,0,0,0,0,0,0,0,0,0,0
chevrolet,2018,Onix,1,0,0,1,0,0,0,1,0,32
chevrolet,2018,Onix,1,1,0,0,0,0,0,1,0,29
chevrolet,2018,Onix,0,0,0,0,0,0,0,0,0,0
chevrolet,2018,Onix,1,0,1,0,0,0,0,0,0,31
chevrolet,2018,Onix,1,0,0,1,0,0,0,1,0,32
chevrolet,2018,Onix,1,0,1,0,0,0,0,0,0,31
chevrolet,2018,Onix,1,1,0,0,0,0,1,0,0,28
chevrolet,2018,Onix,1,0,1,0,0,1,0,0,0,30
chevrolet,2018,Onix,1,0,1,0,1,0,0,0,0,30
chevrolet,2018,Onix,1,0,0,1,0,0,1,0,0,29
chevrolet,2018,Onix,1,0,0,1,0,0,0,0,1,33
chevrolet,2018,Onix,1,0,1,0,0,0,0,0,0,31
chevrolet,2018,Onix,1,0,1,0,1,0,0,0,0,30
chevrolet,2018,Onix,1,0,1,0,0,1,0,0,0,30
chevrolet,2018,Onix,1,0,1,0,0,0,0,0,0,31
chevrolet,2018,Onix,1,0,0,1,0,0,0,0,1,33
chevrolet,2018,Onix,1,0,0,1,0,0,0,0,1,33
chevrolet,2018,Onix,1,0,1,0,0,0,0,0,0,31
chevrolet,2018,Onix,1,0,1,0,0,0,0,0,0,31
chevrolet,2018,Onix,1,0,1,0,0,1,0,0,0,30
chevrolet,2018,Onix,1,0,1,0,0,1,0,0,0,30
chevrolet,2018,Onix,1,1,0,0,0,0,1,0,0,28
chevrolet,2018,Onix,0,0,0,0,0,0,0,0,0,0
chevrolet,2018,Onix,1,1,0,0,0,0,0,1,0,29
chevrolet,2018,Onix,0,0,0,0,0,0,0,0,0,0
chevrolet,2018,Onix,1,0,0,1,0,0,1,0,0,29
chevrolet,2018,Onix,0,0,0,0,0,0,0,0,0,0
chevrolet,2018,Onix,1,0,0,1,0,0,0,1,0,32
chevrolet,2018,Onix,1,0,0,1,0,0,0,0,1,33
chevrolet,2018,Onix,1,0,1,0,1,0,0,0,0,30
chevrolet,2018,Onix,1,0,0,1,0,0,1,0,0,29
chevrolet,2018,Onix,1,0,1,0,0,0,0,0,0,31
chevrolet,2018,Onix,1,0,1,0,0,0,0,0,0,31
chevrolet,2018,Onix,1,0,1,0,0,0,0,0,0,31
chevrolet,2018,Onix,1,0,1,0,0,0,0,0,0,31
chevrolet,2018,Onix,1,1,0,0,0,0,1,0,0,28
chevrolet,2018,Onix,1,0,1,0,0,0,0,0,0,31
chevrolet,2018,Onix,1,0,1,0,0,0,0,0,0,31
chevrolet,2018,Onix,1,0,0,1,0,0,1,0,0,29
chevrolet,2018,Onix,1,0,1,0,0,0,0,0,0,31
chevrolet,2018,Onix,1,0,1,0,0,0,0,0,0,31
chevrolet,2018,Onix,1,0,1,0,0,0,0,0,0,31
chevrolet,2018,Onix,1,0,1,0,0,0,0,0,0,31
chevrolet,2018,Onix,0,0,0,0,0,0,0,0,0,0
chevrolet,2018,Onix,1,0,1,0,0,0,0,0,0,31
chevrolet,2018,Onix,1,0,1,0,0,0,0,0,0,31
chevrolet,2018,Onix,0,0,0,0,0,0,0,0,0,0
chevrolet,2018,Onix,1,1,0,0,0,0,1,0,0,28
chevrolet,2018,Onix,1,0,1,0,0,0,0,0,0,31
chevrolet,2018,Onix,1,0,1,0,1,0,0,0,0,30
chevrolet,2018,Onix,1,1,0,0,0,0,1,0,0,28
chevrolet,2018,Onix,1,0,0,1,0,0,1,0,0,29
chevrolet,2018,Onix,0,0,0,0,0,0,0,0,0,0
chevrolet,2018,Onix,1,0,1,0,0,0,0,0,0,31
chevrolet,2018,Onix,1,0,1,0,0,0,0,0,0,31
chevrolet,2018,Onix,1,0,1,0,0,0,0,0,0,31
chevrolet,2018,Onix,1,0,1,0,0,0,0,0,0,31
chevrolet,2018,Onix,1,0,0,1,0,0,0,1,0,32
chevrolet,2018,Onix,1,0,1,0,0,1,0,0,0,30
chevrolet,2018,Onix,1,0,1,0,0,0,0,0,0,31
chevrolet,2018,Onix,1,0,0,1,0,0,0,0,1,33
chevrolet,2018,Onix,1,0,1,0,0,0,0,0,0,31
chevrolet,2018,Onix,1,0,1,0,0,0,0,0,0,31
chevrolet,2018,Onix,1,0,1,0,0,0,0,0,0,31
chevrolet,2018,Onix,1,0,1,0,0,1,0,0,0,30
chevrolet,2018,Onix,1,0,1,0,0,1,0,0,0,30
chevrolet,2018,Onix,1,0,0,1,0,0,0,0,1,33
chevrolet,2018,Onix,0,0,0,0,0,0,0,0,0,0
chevrolet,2018,Onix,1,0,0,1,0,0,0,0,1,33
chevrolet,2018,Onix,1,0,1,0,1,0,0,0,0,30
chevrolet,2018,Onix,1,0,1,0,0,1,0,0,0,30
chevrolet,2018,Onix,1,0,0,1,0,0,0,1,0,32
chevrolet,2018,Onix,1,0,1,0,0,0,0,0,0,31
chevrolet,2018,Onix,1,0,1,0,0,1,0,0,0,30
chevrolet,2018,Onix,1,0,1,0,0,0,0,0,0,31
chevrolet,2018,Onix,0,0,0,0,0,0,0,0,0,0
chevrolet,2018,Onix,1,0,1,0,0,1,0,0,0,30
chevrolet,2018,Onix,1,0,1,0,0,0,0,0,0,31
chevrolet,2018,Onix,1,0,1,0,0,0,0,0,0,31
chevrolet,2018,Onix,1,0,1,0,0,0,0,0,0,31
chevrolet,2018,Onix,1,0,1,0,0,0,0,0,0,31
chevrolet,2018,Onix,1,0,0,1,0,0,0,0,1,33
chevrolet,2018,Onix,1,0,1,0,0,0,0,0,0,31
chevrolet,2018,Onix,1,1,0,0,0,0,1,0,0,28
chevrolet,2018,Onix,1,1,0,0,0,0,1,0,0,28
chevrolet,2018,Onix,1,0,1,0,0,1,0,0,0,30
chevrolet,2018,Onix,1,0,0,1,0,0,1,0,0,29
chevrolet,2018,Onix,1,1,0,0,0,0,1,0,0,28
chevrolet,2018,Onix,1,0,0,1,0,0,0,0,1,33
chevrolet,2018,Onix,0,0,0,0,0,0,0,0,0,0
chevrolet,2018,Onix,1,0,0,1,0,0,0,0,1,33
chevrolet,2018,Onix,1,0,0,1,0,0,1,0,0,29
chevrolet,2018,Onix,1,1,0,0,0,0,1,0,0,28
chevrolet,2018,Onix,1,0,1,0,0,0,0,0,0,31
chevrolet,2018,Onix,1,0,1,0,0,0,0,0,0,31
chevrolet,2018,Onix,1,0,1,0,0,0,0,0,0,31
chevrolet,2018,Onix,1,0,1,0,0,0,0,0,0,31
chevrolet,2018,Onix,1,0,1,0,0,0,0,0,0,31
chevrolet,2018,Onix,1,0,1,0,1,0,0,0,0,30
chevrolet,2018,Onix,1,0,1,0,1,0,0,0,0,30
chevrolet,2018,Onix,1,0,0,1,0,0,1,0,0,29
chevrolet,2018,Onix,1,0,1,0,1,0,0,0,0,30
chevrolet,2018,Onix,1,0,1,0,0,0,0,0,0,31
chevrolet,2018,Onix,1,0,0,1,0,0,0,1,0,32
chevrolet,2018,Onix,1,0,1,0,0,0,0,0,0,31
chevrolet,2018,Onix,1,0,1,0,1,0,0,0,0,30
chevrolet,2018,Onix,1,0,0,1,0,0,0,1,0,32
chevrolet,2018,Onix,1,0,0,1,0,0,0,0,1,33
chevrolet,2018,Onix,1,0,1,0,0,0,0,0,0,31
chevrolet,2018,Onix,1,0,0,1,0,0,0,1,0,32
chevrolet,2018,Onix,1,0,1,0,0,1,0,0,0,30
chevrolet,2018,Onix,1,1,0,0,0,0,1,0,0,28
chevrolet,2018,Onix,1,1,0,0,0,0,1,0,0,28
chevrolet,2018,Onix,1,1,0,0,0,0,1,0,0,28
chevrolet,2018,Onix,1,0,0,1,0,0,1,0,0,29
chevrolet,2018,Onix,1,0,0,1,0,0,0,0,1,33
chevrolet,2018,Onix,1,0,0,1,0,0,0,0,1,33
chevrolet,2018,Onix,1,0,1,0,0,0,0,0,0,31
chevrolet,2018,Onix,1,0,0,1,0,0,0,1,0,32
chevrolet,2018,Onix,1,1,0,0,0,0,1,0,0,28
